Nazwa;Cena z podatkiem;Kategoria;Ilość;URL zdjecia;Opis
Banan ważony;1.3;Owoce świeże;30;http://localhost/img/p/banan-wazony-t4gqqn.png;Najpopularniejszy owoc egzotyczny. Chętnie spożywany przez dzieci. Może występować w kolorach od zielono-żółtego do żółtego. Te drugie najlepiej spożywać na surowo. Najsmaczniejsze, najsłodsze i najbardziej aromatyczne są banany, które posiadają brązowe plamki cukrowe na skórce - powstają w wyniku dojrzewania owocu. Takie banany najlepiej smakować będą w koktajlach i musach.
Papryka czerwona ważona;4.24;Warzywa świeże;30;http://localhost/img/p/papryka-czerwona-wazona-u7htq0.png;"papryka czerwona 100%.

Oznakowanie alergenów: wielkimi literami"
Marchew ważona;0.5;Warzywa świeże;30;http://localhost/img/p/marchew-luz-7dffrt.png;Warzywo, które znalazło zwoje zastosowanie w niemal wszystkich kuchniach świata. Słodka, chrupiąca marchewka to jeden z podstawowych składników wywarów na zupę, sałatek, surówek, a także odżywczych, świeżo wyciskanych soków.
Cebula ważona;2.0;Warzywa świeże;30;http://localhost/img/p/cebula-wazona-5m5hg9.png;Świeża, soczysta i aromatyczna cebula o intensywnym smaku i zapachu.
Pomarańcze ważone;3.5;Owoce świeże;30;http://localhost/img/p/pomarancze-wazone-k5n36b.png;Najpopularniejszy owoc wśród cytrusów ceniony za wspaniały aromat i niepowtarzalny, wyrazisty i orzeźwiający smak. Na ogół spożywamy je na surowo bądź wyciskamy z nich świeży sok. Są doskonałym dodatkiem do zimnych napojów i drinków, a także grzanych alkoholi: piwa i wina. Nieodzowny składnik sałatek owocowych. Mają zastosowanie również w daniach mięsnych- świetnie komponują się z kaczką.
Jabłka Szampion ważone;1.75;Owoce świeże;30;http://localhost/img/p/jablka-szampion-wazone-cotn7d.png;Odmiana Szampion masowo uprawiana jest tylko w Polsce. Owoce są średnie lub duże kulisto-stożkowe, pomarańczowe z rozległym rumieńcem, kruche, słodko-kwaśne, soczyste, aromatyczne i bardzo smaczne. Nadają się do jedzenia bezpośrednio wkrótce po zbiorze. W Europie najsmaczniejsze są na początku zimy. Twardy miąższ i kwaskowaty smak pozwalają klasyfikować te jabłka do tych, które najlepiej sprawdzą się w obróbce termicznej czy do przygotowania przecierów, ale prawda jest taka, że Szampiony mają także liczne grono zwolenników, którzy jedzą je również na surowo. Są bardzo aromatyczne i doskonale komponują się np. w konfiturach ze smakiem słodkich gruszek.
Cukinia ważona;4.16;Warzywa świeże;30;http://localhost/img/p/cukinia-wazona-878fjh.png;Smaczne, zdrowe i lekkostrawne warzywo, które dostarcza małej ilości kalorii i ma wiele wartości odżywczych. Jego zastosowanie w kuchni jest naprawdę różnorodne - z cukinii przygotowuje się przetwory, dusi się ją, grilluje, panieruje, smaży, a nawet wykorzystuje jako bazę do słodkich wypieków. Cukinia jest krewniakiem dyni. Co ciekawe, jej nazwa oznacza w języku włoskim małą dynię (zucchina). Warzywo to została wyhodowana w słonecznej Italii już w XIX wieku i do dziś cenione jest za delikatny smak i walory dietetyczne.
BIO CEBULA LUZ;1.75;Warzywa świeże;30;http://localhost/img/p/bio-cebula-zolta-luz-iev79h.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO MARCHEW LUZ;2.0;Warzywa świeże;30;http://localhost/img/p/bio-marchew-luz-av3ntk.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO AWOKADO SZT;7.99;Warzywa świeże;30;http://localhost/img/p/bio-awokado-szt-57fanp.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO CUKINIA LUZ;6.3;Warzywa świeże;30;http://localhost/img/p/bio-cukinia-luz-9famqa.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO CYTRYNA LUZ;2.85;Owoce świeże;30;http://localhost/img/p/bio-cytryna-luz-1454do.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO JABŁKA LUZ;4.0;Owoce świeże;30;http://localhost/img/p/bio-jablka-luz-ii1t83.png;"Bio jabłka 100%.

Oznakowanie alergenów: wielkimi literami"
BIO Natka pietruszki pęczek szt;3.59;Zioła;30;http://localhost/img/p/bio-natka-pietruszki-peczek-szt-q1svf8.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO PIETRUSZKA LUZ;3.25;Warzywa świeże;30;http://localhost/img/p/bio-pietruszka-luz-shr6h8.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
"Ziemniaki do gotowania ""Jakość z Natury Carrefour"" 2 kg";6.99;Warzywa świeże;30;http://localhost/img/p/ziemniaki-do-gotowania-jakosc-z-natury-carrefour-2-kg-ld08bn.png;"Ziemniaki ""Jakość z Natury Carrefour"" są uprawiane w wyselekcjonowanych gospodarstwach zlokalizowanych w centrum Niziny Błońskiej. Doświadczenie producentów oraz biologiczne metody walki ze szkodnikami umożliwiają zredukowanie stosowania środków fitosanitarnych. Po zbiorach, ziemniaki są przechowywane w naturalnych warunkach - nie są stosowane zabiegi fitosanitarne przeciwko kiełkowaniu."
BIO IMBIR LUZ;3.0;Owoce świeże;30;http://localhost/img/p/bio-imbir-luz-n0jovb.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO BURAKI LUZ;5.0;Warzywa świeże;30;http://localhost/img/p/bio-buraki-luz-rvq719.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO pomarańcze;11.39;Owoce cytrusowe;30;http://localhost/img/p/bio-pomarancze-j5r9a3.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
Mandarynki ważone;2.5;Owoce świeże;30;http://localhost/img/p/mandarynki-wazone-lf97du.png;Mandarynka to młodsza siostra pomarańczy. Jest od niej mniejsza, słodsza i bardziej aromatyczna. Charakteryzują się wysoką zawartością witaminy C i A. Nazwa jej wzięła się od nazwy wyspy Mauritius na Oceanie Indyjskim, którą niegdyś nazywano Mandarą.
BIO Mango;8.69;Owoce świeże;30;http://localhost/img/p/bio-mango-szt--d610ob.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO KALAFIOR SZT;12.99;Warzywa świeże;30;http://localhost/img/p/bio-kalafior-szt-5q25va.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO KALAREPA SZT;5.99;Warzywa świeże;30;http://localhost/img/p/bio-kalarepa-szt-cc14p2.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO ZIEMNIAKI LUZ;3.0;Warzywa świeże;30;http://localhost/img/p/bio-ziemniaki-zolte-luz-7e3ji1.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO Ziemniaki słodkie luz;10.0;Warzywa świeże;30;http://localhost/img/p/bio-ziemniaki-slodkie-luz-1fv14h.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO SELER LUZ;4.5;Warzywa świeże;30;http://localhost/img/p/bio-seler-luz-ih6ofl.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO LIMONKA LUZ;2.16;Owoce cytrusowe;30;http://localhost/img/p/bio-limonka-luz-71e4oo.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO Kapusta biała szt.;8.49;Warzywa świeże;30;http://localhost/img/p/bio-kapusta-biala-szt--mbh3rv.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO Kapusta czerwona szt;9.99;Warzywa świeże;30;http://localhost/img/p/bio-kapusta-czerwona-szt-82ksnn.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO MANDARYNKA LUZ;4.5;Owoce cytrusowe;30;http://localhost/img/p/bio-mandarynka-luz-jn29qn.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO Ananas świeży luz;12.79;Owoce świeże;30;http://localhost/img/p/bio-ananas-swiezy-luz-7sra40.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO Rzepa czarna luz;2.5;Warzywa świeże;30;http://localhost/img/p/bio-rzepa-czarna-luz-eu3tbi.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO Pomarańcze na sok luz;8.0;Owoce świeże;30;http://localhost/img/p/bio-pomarancze-na-sok-luz-bhjp39.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO Orzech kokosowy szt;7.61;Owoce świeże;30;http://localhost/img/p/bio-orzech-kokosowy-szt-mrh02p.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
BIO KURKUMA LUZ;2.5;Owoce świeże;30;http://localhost/img/p/bio-kurkuma-luz-e3o7e5.png;Produkt pochodzący z certyfikowanych upraw ekologicznych.
Ziemniaki ważone;2.49;Warzywa świeże;30;http://localhost/img/p/ziemniaki-wazone-kkd5a1.png;"ziemniaki 100%.

Oznakowanie alergenów: wielkimi literami"
Por sztuka;3.99;Warzywa świeże;30;http://localhost/img/p/por-sztuka-mgnsaq.png;Por obok czosnku i cebuli, jest jednym z najbardziej popularnych warzyw, które podkręcają smak innych potraw i nadają im wyjątkowy aromat.
Kiwi sztuka;1.29;Owoce świeże;30;http://localhost/img/p/kiwi-sztuka-vejp99.png;Popularny owoc, który pod brązową skórką pokrytą lekkim meszkiem kryje zielony, soczysty, jadalny miąższ. W smaku słodkie, z wyraźnie wyczuwalnym kwaskowatym aromatem. Można spożywać je na surowo. Doskonale nadaje się do dekoracji potraw i deserów. Dobrze sprawdzi sie również w sałatkach, nie tylko tych owocowych ale i mięsno-warzywnych.
Jabłka Ligol ważone;1.75;Owoce świeże;30;http://localhost/img/p/jablka-ligol-wazone-agc9ii.png;Słodko-kwaśna odmiana Ligol została wyhodowana w Polsce natomiast cieszy się coraz większym uznaniem w Europie. Zbiera się ją w październiku. Owoce są duże lub bardzo duże, baryłkowate, pokryte zieloną skórką z rozmytym, jasnoczerwonym paskowatym rumieńcem. Miąższ Ligola jest ścisły, jędrny, twardy, wyjątkowo smaczny i bardzo ceniony przez młodzież. Owoce są smacznie zarówno zaraz po zbiorze, jak też po nawet kilkumiesięcznym przechowywaniu. Po obraniu nie czernieje, więc doskonale nadaje się do sałatek, a ze względu na swą soczystość jest szczególnie polecane również na soki, kompoty i koktajle.
Brokuł sztuka;5.99;Warzywa świeże;30;http://localhost/img/p/brokuly-sztuka-rapss5.png;Zdrowe i smaczne warzywo należące do rodziny kapustnych o szerokim zastosowaniu kulinarnym. Ceniony ze względu na swoje walory dietetyczne i zdrowotne.
AWOKADO HASS  SZT.;5.99;Owoce świeże;30;http://localhost/img/p/awokado-hass-szt--6vu2cb.png;W naszych sklepach sprzedajemy wyłącznie awokado „ready to eat” – „gotowe do zjedzenia”, które w odróżnieniu od standardowego, poddawane jest procesowi dojrzewania w odpowiednich komorach. Dzięki temu zabiegowi, już w momencie zakupu, nadają się do spożycia. Awokado odmiany Hass jest powszechnie uważane za najlepsze awokado na rynku. Miąższ dojrzałego awokado ma mazistą konsystencję podobną do masła. To właśnie konsystencja awokado pozwala na przygotowanie z niego aromatycznej pasty. Idealnie pasuje także do sałatek lub jako dodatek do kanapek. Oprócz zastosowania w kuchni, nadaje się jako komponent maseczek do twarzy czy włosów.
